word,code
glow,_glo______
grove,_grov_____
foist,__fOst____
flop,_flap_____
flow,_flo______
dog,__dag_____
doe,__do______
swamp,_swamp____
yang,__y@ng____
aunt,___ant____
flog,_flag_____
dow,__dW______
came,__kem_____
yank,__y@nk____
bomb,__bam_____
pope,__pop_____
stool,_stul_____
probe,_prob_____
pave,__pev_____
lurch,__l^rC____
gauge,__geJ_____
queer,_kwir_____
earth,___^rT____
bail,__bel_____
toast,__tost____
stoop,_stup_____
peck,__pEk_____
spite,_spAt_____
quaint,_kwent____
buss,__b^s_____
yen,__yEn_____
myth,__mIT_____
bust,__b^st____
bush,__bUS_____
bliss,_blIs_____
rich,__rIC_____
lodge,__laJ_____
rice,__rAs_____
do,__du______
waltz,__walts___
stow,_sto______
stop,_stap_____
coast,__kost____
smug,_sm^g_____
earl,___^rl____
bat,__b@t_____
bar,__bar_____
bas,__ba______
bay,__be______
bag,__b@g_____
bad,__b@d_____
stead,_stEd_____
troop,_trup_____
rung,__r^ng____
ban,__b@n_____
steak,_stek_____
steal,_stil_____
steam,_stim_____
ghoul,__gul_____
blew,_blu______
fair,__fEr_____
wrest,__rEst____
nut,__n^t_____
nun,__n^n_____
bled,_blEd_____
toes,__toz_____
fail,__fel_____
weird,__wird____
shill,__SIl_____
yes,__yEs_____
best,__bEst____
said,__sEd_____
scrap,skr@p_____
sail,__sel_____
mud,__m^d_____
mug,__m^g_____
score,_skor_____
mum,__m^m_____
drawn,_dran_____
drawl,_dral_____
ire,___Ar_____
side,__sAd_____
terms,__t^rmz___
rolled,__rold____
weak,__wik_____
boss,__bas_____
rime,__rAm_____
here,__hir_____
spurt,_sp^rt____
news,__nuz_____
debt,__dEt_____
laze,__lez_____
cop,__kap_____
cot,__kat_____
cow,__kW______
brat,_br@t_____
coy,__kO______
cox,__kaks____
ill,___Il_____
blimp,_blImp____
pith,__pIT_____
brag,_br@g_____
cod,__kad_____
brad,_br@d_____
bran,_br@n_____
runt,__r^nt____
skill,_skIl_____
tone,__ton_____
pose,__poz_____
vail,__vel_____
vain,__ven_____
height,__het_____
hers,__h^rz____
jays,__Jez_____
speak,_spik_____
putt,__p^t_____
