word,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale
snow,124,4.820281566,4.741051606
car,122,4.804021045,4.758791906
another,121,4.795790546,4.767771417
sat,121,4.795790546,4.767771417
hat,120,4.787491743,4.776825447
last,119,4.779123493,4.785955244
left,119,4.779123493,4.785955244
let,119,4.779123493,4.785955244
truck,119,4.779123493,4.785955244
frog,117,4.762173935,4.804447287
captain,116,4.753590191,4.813812189
fish,115,4.744932128,4.823258174
hear,115,4.744932128,4.823258174
soon,115,4.744932128,4.823258174
toad,115,4.744932128,4.823258174
balloon,114,4.736198448,4.832786657
stop,114,4.736198448,4.832786657
while,114,4.736198448,4.832786657
sleep,113,4.727387819,4.842399093
bird,112,4.718498871,4.852096974
dogs,112,4.718498871,4.852096974
feet,112,4.718498871,4.852096974
name,112,4.718498871,4.852096974
any,111,4.709530201,4.861881832
eyes,111,4.709530201,4.861881832
fast,111,4.709530201,4.861881832
mouse,111,4.709530201,4.861881832
should,111,4.709530201,4.861881832
heard,109,4.691347882,4.881718822
thomas,108,4.682131227,4.891774233
dear,107,4.672828834,4.901923185
town,107,4.672828834,4.901923185
until,106,4.663439094,4.912167433
which,106,4.663439094,4.912167433
best,105,4.65396035,4.922508784
cats,105,4.65396035,4.922508784
friend,105,4.65396035,4.922508784
than,105,4.65396035,4.922508784
walked,105,4.65396035,4.922508784
place,104,4.644390899,4.932949097
sky,104,4.644390899,4.932949097
those,104,4.644390899,4.932949097
top,104,4.644390899,4.932949097
under,104,4.644390899,4.932949097
ate,103,4.634728988,4.943490285
give,103,4.634728988,4.943490285
yes,103,4.634728988,4.943490285
you'll,102,4.624972813,4.954134314
gave,101,4.615120517,4.964883213
people,101,4.615120517,4.964883213
run,100,4.605170186,4.975739068
there's,100,4.605170186,4.975739068
behind,98,4.584967479,4.99778031
black,98,4.584967479,4.99778031
robin,97,4.574710979,5.008970197
room,97,4.574710979,5.008970197
shall,97,4.574710979,5.008970197
began,96,4.564348191,5.020276043
bus,96,4.564348191,5.020276043
does,96,4.564348191,5.020276043
each,95,4.553876892,5.031700278
sometimes,95,4.553876892,5.031700278
sun,95,4.553876892,5.031700278
flew,94,4.543294782,5.043245405
may,94,4.543294782,5.043245405
end,93,4.532599493,5.054914013
friends,93,4.532599493,5.054914013
told,93,4.532599493,5.054914013
world,93,4.532599493,5.054914013
high,91,4.510859507,5.078632434
edward,90,4.49980967,5.090687854
wanted,90,4.49980967,5.090687854
dance,89,4.48863637,5.102877974
many,89,4.48863637,5.102877974
sure,89,4.48863637,5.102877974
white,89,4.48863637,5.102877974
moon,88,4.477336814,5.115205839
round,88,4.477336814,5.115205839
started,88,4.477336814,5.115205839
woman,88,4.477336814,5.115205839
happy,87,4.465908119,5.127674596
mrs,87,4.465908119,5.127674596
box,86,4.454347296,5.140287504
children,86,4.454347296,5.140287504
cold,86,4.454347296,5.140287504
i've,86,4.454347296,5.140287504
read,86,4.454347296,5.140287504
fly,85,4.442651256,5.153047935
nice,85,4.442651256,5.153047935
couldn't,84,4.430816799,5.16595938
front,84,4.430816799,5.16595938
nose,84,4.430816799,5.16595938
window,84,4.430816799,5.16595938
wish,84,4.430816799,5.16595938
yellow,84,4.430816799,5.16595938
dark,83,4.418840608,5.179025457
fell,83,4.418840608,5.179025457
rain,83,4.418840608,5.179025457
seen,83,4.418840608,5.179025457
book,82,4.406719247,5.192249915
enough,82,4.406719247,5.192249915
four,81,4.394449155,5.20563664
tried,81,4.394449155,5.20563664
girl,80,4.382026635,5.219189664
goes,80,4.382026635,5.219189664
most,80,4.382026635,5.219189664
show,80,4.382026635,5.219189664
these,80,4.382026635,5.219189664
better,79,4.369447852,5.232913171
club,79,4.369447852,5.232913171
felt,79,4.369447852,5.232913171
fun,79,4.369447852,5.232913171
side,79,4.369447852,5.232913171
walk,79,4.369447852,5.232913171
bad,78,4.356708827,5.246811504
inside,78,4.356708827,5.246811504
try,78,4.356708827,5.246811504
upon,78,4.356708827,5.246811504
wait,78,4.356708827,5.246811504
brown,77,4.343805422,5.260889175
grew,77,4.343805422,5.260889175
knew,77,4.343805422,5.260889175
nothing,77,4.343805422,5.260889175
quite,77,4.343805422,5.260889175
tired,77,4.343805422,5.260889175
trees,77,4.343805422,5.260889175
arnie,76,4.33073334,5.275150874
call,76,4.33073334,5.275150874
everything,76,4.33073334,5.275150874
hard,76,4.33073334,5.275150874
thank,76,4.33073334,5.275150874
across,75,4.317488114,5.289601474
garden,75,4.317488114,5.289601474
hot,75,4.317488114,5.289601474
sir,75,4.317488114,5.289601474
engine,74,4.304065093,5.304246049
fire,74,4.304065093,5.304246049
himself,74,4.304065093,5.304246049
let's,74,4.304065093,5.304246049
street,74,4.304065093,5.304246049
sit,73,4.290459441,5.319089875
together,73,4.290459441,5.319089875
checkers,72,4.276666119,5.33413845
comes,72,4.276666119,5.33413845
duck,72,4.276666119,5.33413845
turned,72,4.276666119,5.33413845
air,71,4.262679877,5.349397502
full,71,4.262679877,5.349397502
might,71,4.262679877,5.349397502
sister,71,4.262679877,5.349397502
without,71,4.262679877,5.349397502
work,71,4.262679877,5.349397502
ball,70,4.248495242,5.364873001
king,70,4.248495242,5.364873001
such,70,4.248495242,5.364873001
food,69,4.234106505,5.380571177
gone,69,4.234106505,5.380571177
i'd,69,4.234106505,5.380571177
scarf,69,4.234106505,5.380571177
today,69,4.234106505,5.380571177
done,68,4.219507705,5.396498531
hair,68,4.219507705,5.396498531
hey,68,4.219507705,5.396498531
looking,68,4.219507705,5.396498531
open,68,4.219507705,5.396498531
pickles,68,4.219507705,5.396498531
pretty,68,4.219507705,5.396498531
rabbit,68,4.219507705,5.396498531
wasn't,68,4.219507705,5.396498531
wind,68,4.219507705,5.396498531
won't,68,4.219507705,5.396498531
keep,67,4.204692619,5.412661855
mom,67,4.204692619,5.412661855
turn,67,4.204692619,5.412661855
whole,67,4.204692619,5.412661855
grass,66,4.189654742,5.429068245
he'll,66,4.189654742,5.429068245
