,word,source,freq_lcnl,freq_lcnl_log,freq_lcnl_log_flipscale,aoa_mean,aoa_sd,aoa_mean_scale,tasa_1,tasa_2,tasa_3
2145,nick,3k,6.0,1.791759469,8.045182537,7.585813000000001,2.04,3.0343252000000005,79.0,44.0,9.0
2146,nap,3k,23.0,3.135494216,6.579162017000001,2.53,0.77,1.012,54.0,22.0,8.0
2148,trait,3k,1.0,0.0,10.0,10.65,3.03,4.26,0.0,0.0,1.0
2149,forge,3k,#N/A,#N/A,#N/A,9.8,1.74,3.9200000000000004,0.0,1.0,1.0
2150,tech,3k,#N/A,#N/A,#N/A,12.9,4.57,5.16,#N/A,#N/A,#N/A
2151,nay,3k,3.0,1.098612289,8.80140916,10.314005,3.36,4.125602,0.0,0.0,2.0
2152,mock,3k,#N/A,#N/A,#N/A,9.05,3.29,3.62,0.0,0.0,1.0
2153,nice,3k,85.0,4.442651256,5.153047935,3.95,1.51,1.58,333.0,232.0,170.0
2154,dale,3k,#N/A,#N/A,#N/A,10.335319,3.82,4.1341276,1.0,4.0,3.0
2155,draw,3k,13.0,2.5649493569999997,7.201628967,4.11,1.13,1.6440000000000001,134.0,69.0,72.0
2156,scrub,3k,6.0,1.791759469,8.045182537,8.7,5.69,3.4799999999999995,1.0,3.0,3.0
2157,lend,3k,5.0,1.609437912,8.244096157000001,8.45,2.33,3.38,28.0,10.0,5.0
2158,skit,3k,2.0,0.693147181,9.243773377,9.17,2.36,3.668,#N/A,#N/A,#N/A
2159,lens,3k,#N/A,#N/A,#N/A,9.53,3.12,3.812,0.0,5.0,11.0
2160,drag,3k,2.0,0.693147181,9.243773377,8.84,5.4,3.536,6.0,6.0,13.0
2161,squirm,3k,1.0,0.0,10.0,9.18,3.13,3.6719999999999997,#N/A,#N/A,#N/A
2162,lent,3k,1.0,0.0,10.0,#N/A,#N/A,#N/A,3.0,2.0,2.0
2163,dram,3k,#N/A,#N/A,#N/A,13.13,4.31,5.252000000000001,#N/A,#N/A,#N/A
2164,lane,3k,8.0,2.079441542,7.73132013,7.0,2.85,2.8,8.0,9.0,12.0
2165,land,3k,24.0,3.17805383,6.53272929,5.22,2.69,2.088,194.0,248.0,315.0
2166,sore,3k,9.0,2.197224577,7.60281832,5.84,2.03,2.336,14.0,17.0,11.0
2167,scotch,3k,2.0,0.693147181,9.243773377,11.83,4.73,4.732,0.0,0.0,0.0
2168,age,3k,1.0,0.0,10.0,4.38,1.36,1.752,29.0,62.0,91.0
2169,crease,3k,#N/A,#N/A,#N/A,7.79,2.07,3.116,#N/A,#N/A,#N/A
2170,feud,3k,#N/A,#N/A,#N/A,10.33,2.77,4.132,0.0,0.0,0.0
2171,depth,3k,#N/A,#N/A,#N/A,9.72,3.32,3.8880000000000003,0.0,3.0,4.0
2172,floe,3k,#N/A,#N/A,#N/A,14.17,4.11,5.668,#N/A,#N/A,#N/A
2173,broad,3k,3.0,1.098612289,8.80140916,10.5,3.63,4.2,4.0,11.0,24.0
2174,fresh,3k,22.0,3.091042453,6.627659085,6.22,1.86,2.488,40.0,70.0,83.0
2175,pyre,3k,#N/A,#N/A,#N/A,14.07,4.32,5.628,#N/A,#N/A,#N/A
2176,tube,3k,#N/A,#N/A,#N/A,5.5,2.04,2.2,11.0,23.0,24.0
2177,rinse,3k,#N/A,#N/A,#N/A,4.95,2.01,1.98,0.0,1.0,1.0
2178,once,3k,129.0,4.8598124039999995,4.697923287,4.974848000000001,2.32,1.9899392000000002,338.0,463.0,547.0
2179,code,3k,3.0,1.098612289,8.80140916,8.11,2.79,3.2439999999999998,4.0,7.0,5.0
2180,scratch,3k,17.0,2.833213344,6.908951778,5.61,3.05,2.244,2.0,7.0,13.0
2181,gang,3k,13.0,2.5649493569999997,7.201628967,9.22,3.28,3.688,12.0,10.0,16.0
2182,go,3k,547.0,6.3044488020000005,3.1218186219999997,3.37,1.46,1.348,3313.0,2054.0,1710.0
2184,nook,3k,5.0,1.609437912,8.244096157000001,9.74,3.43,3.896,#N/A,#N/A,#N/A
2185,suave,3k,#N/A,#N/A,#N/A,11.05,2.21,4.42,#N/A,#N/A,#N/A
2186,stave,3k,#N/A,#N/A,#N/A,12.69,3.14,5.076,#N/A,#N/A,#N/A
2187,young,3k,44.0,3.7841896339999996,5.8714324620000005,4.61,1.5,1.844,157.0,297.0,401.0
2188,send,3k,15.0,2.7080502010000003,7.045505317000001,5.68,1.73,2.272,74.0,75.0,83.0
2189,shack,3k,#N/A,#N/A,#N/A,6.15,1.98,2.46,15.0,6.0,6.0
2190,blaze,3k,25.0,3.218875825,6.488192314,7.47,2.37,2.988,0.0,1.0,4.0
2191,breach,3k,#N/A,#N/A,#N/A,11.72,2.89,4.688000000000001,0.0,0.0,0.0
2192,sent,3k,44.0,3.7841896339999996,5.8714324620000005,#N/A,#N/A,#N/A,86.0,123.0,139.0
2193,rag,3k,8.0,2.079441542,7.73132013,5.22,2.05,2.088,6.0,6.0,5.0
2194,queen,3k,29.0,3.36729583,6.326265436,4.42,1.57,1.768,66.0,58.0,51.0
2195,sage,3k,1.0,0.0,10.0,11.39,4.0,4.556,0.0,0.0,1.0
2196,rhyme,3k,5.0,1.609437912,8.244096157000001,5.47,1.98,2.1879999999999997,1.0,2.0,3.0
2197,wave,3k,7.0,1.9459101490000001,7.877003467000001,4.26,1.59,1.704,16.0,27.0,35.0
2198,spool,3k,1.0,0.0,10.0,8.0,3.2,3.2,7.0,2.0,1.0
2199,spoon,3k,14.0,2.63905733,7.120776844,2.5,0.79,1.0,19.0,12.0,12.0
2200,trough,3k,#N/A,#N/A,#N/A,8.41,2.92,3.364,0.0,2.0,5.0
2201,spook,3k,#N/A,#N/A,#N/A,6.56,2.38,2.6239999999999997,#N/A,#N/A,#N/A
2202,spoof,3k,#N/A,#N/A,#N/A,9.72,2.99,3.8880000000000003,#N/A,#N/A,#N/A
2203,wipe,3k,5.0,1.609437912,8.244096157000001,4.83,2.07,1.932,3.0,2.0,8.0
2204,stiff,3k,4.0,1.386294361,8.487546753,8.16,2.34,3.2640000000000002,21.0,18.0,24.0
2205,meant,3k,21.0,3.044522438,6.678412627,#N/A,#N/A,#N/A,25.0,73.0,110.0
2206,knight,3k,2.0,0.693147181,9.243773377,6.2643450000000005,1.76,2.505738,0.0,1.0,5.0
2207,shock,3k,2.0,0.693147181,9.243773377,7.53,2.32,3.012,0.0,10.0,15.0
2208,booze,3k,#N/A,#N/A,#N/A,10.42,2.93,4.168,#N/A,#N/A,#N/A
2209,hive,3k,1.0,0.0,10.0,6.89,2.56,2.756,4.0,12.0,11.0
2210,try,3k,78.0,4.356708827,5.246811504,3.44,2.15,1.376,370.0,362.0,347.0
2211,this,3k,538.0,6.28785856,3.1399186489999997,4.93222,2.09,1.972888,3899.0,2990.0,3591.0
2212,race,3k,14.0,2.63905733,7.120776844,6.0,2.62,2.4,151.0,108.0,90.0
2213,dealt,3k,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0,0.0,0.0
2214,trout,3k,2.0,0.693147181,9.243773377,8.56,3.36,3.4240000000000004,0.0,5.0,8.0
2215,rack,3k,2.0,0.693147181,9.243773377,6.26,2.66,2.504,10.0,6.0,6.0
2216,pledge,3k,1.0,0.0,10.0,7.17,2.46,2.868,0.0,2.0,2.0
2217,pleat,3k,1.0,0.0,10.0,12.0,3.33,4.8,#N/A,#N/A,#N/A
2218,crow,3k,23.0,3.135494216,6.579162017000001,5.74,3.28,2.2960000000000003,30.0,29.0,18.0
2219,blitz,3k,#N/A,#N/A,#N/A,10.4,3.2,4.16,0.0,0.0,2.0
2220,chomp,3k,5.0,1.609437912,8.244096157000001,6.11,2.21,2.444,#N/A,#N/A,#N/A
2221,jump,3k,31.0,3.4339872039999997,6.253504853,2.84,1.3,1.136,406.0,110.0,71.0
2222,crook,3k,1.0,0.0,10.0,7.84,2.65,3.136,1.0,0.0,3.0
2223,noise,3k,49.0,3.8918202980000003,5.7540069339999995,4.5,2.2,1.8,213.0,157.0,111.0
2224,croon,3k,#N/A,#N/A,#N/A,13.33,3.39,5.332,#N/A,#N/A,#N/A
2225,booth,3k,2.0,0.693147181,9.243773377,7.16,1.61,2.864,4.0,12.0,9.0
2226,plead,3k,1.0,0.0,10.0,10.22,3.9,4.088,0.0,0.0,0.0
2227,odd,3k,2.0,0.693147181,9.243773377,6.0,2.0,2.4,11.0,23.0,30.0
2228,click,3k,17.0,2.833213344,6.908951778,6.94,2.6,2.7760000000000002,39.0,7.0,11.0
2229,folk,3k,2.0,0.693147181,9.243773377,8.19,2.96,3.276,0.0,2.0,8.0
2230,poke,3k,1.0,0.0,10.0,4.95,2.37,1.98,1.0,3.0,5.0
2231,saw,3k,164.0,5.099866428,4.436023292,5.3585,2.09,2.1434,1596.0,999.0,727.0
2232,cell,3k,#N/A,#N/A,#N/A,10.0,2.29,4.0,4.0,8.0,27.0
2233,bird,3k,112.0,4.718498871,4.852096974,3.52,1.66,1.408,540.0,167.0,118.0
2234,led,3k,23.0,3.135494216,6.579162017000001,#N/A,#N/A,#N/A,50.0,72.0,79.0
2235,chose,3k,7.0,1.9459101490000001,7.877003467000001,#N/A,#N/A,#N/A,7.0,13.0,14.0
2236,stance,3k,#N/A,#N/A,#N/A,10.0,3.33,4.0,0.0,0.0,0.0
2237,leg,3k,25.0,3.218875825,6.488192314,3.0,1.5,1.2,118.0,114.0,83.0
2238,stanch,3k,#N/A,#N/A,#N/A,13.64,3.2,5.456,#N/A,#N/A,#N/A
2239,brooch,3k,#N/A,#N/A,#N/A,10.71,2.73,4.284000000000001,#N/A,#N/A,#N/A
2240,sprung,3k,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0,0.0,0.0
2241,quell,3k,#N/A,#N/A,#N/A,13.58,2.64,5.432,#N/A,#N/A,#N/A
2242,sewn,3k,2.0,0.693147181,9.243773377,#N/A,#N/A,#N/A,1.0,1.0,0.0
2243,let,3k,119.0,4.779123493,4.785955244,4.53,2.09,1.812,919.0,662.0,613.0
2244,sink,3k,9.0,2.197224577,7.60281832,4.47,2.04,1.7879999999999998,29.0,32.0,28.0
2245,gloat,3k,#N/A,#N/A,#N/A,11.16,2.89,4.464,#N/A,#N/A,#N/A
2246,sing,3k,55.0,4.007333185,5.627981866,3.47,1.31,1.3880000000000001,126.0,71.0,58.0
2247,sine,3k,#N/A,#N/A,#N/A,13.69,1.45,5.476,#N/A,#N/A,#N/A
2248,great,3k,131.0,4.875197323,4.681138273,5.05,1.23,2.02,373.0,399.0,498.0
2249,chant,3k,#N/A,#N/A,#N/A,6.88,2.76,2.752,0.0,0.0,2.0
2250,screech,3k,15.0,2.7080502010000003,7.045505317000001,8.17,2.96,3.268,0.0,3.0,5.0
2251,sword,3k,5.0,1.609437912,8.244096157000001,5.45,1.43,2.18,0.0,10.0,19.0
2252,climb,3k,27.0,3.295836866,6.40422748,5.3,2.05,2.12,123.0,89.0,60.0
2253,gene,3k,#N/A,#N/A,#N/A,11.7527,3.56,4.70108,12.0,1.0,3.0
2254,makes,3k,55.0,4.007333185,5.627981866,#N/A,#N/A,#N/A,232.0,240.0,260.0
2255,wig,3k,5.0,1.609437912,8.244096157000001,5.63,2.22,2.252,4.0,3.0,3.0
2256,claim,3k,#N/A,#N/A,#N/A,9.05,3.29,3.62,1.0,5.0,8.0
2257,duct,3k,#N/A,#N/A,#N/A,10.74,2.86,4.296,0.0,0.0,0.0
2258,win,3k,13.0,2.5649493569999997,7.201628967,4.22,1.31,1.688,138.0,88.0,65.0
2259,limp,3k,2.0,0.693147181,9.243773377,7.16,2.14,2.864,5.0,7.0,9.0
2260,apt,3k,1.0,0.0,10.0,12.5,4.18,5.0,0.0,0.0,1.0
2261,volt,3k,#N/A,#N/A,#N/A,11.05,2.68,4.42,#N/A,#N/A,#N/A
2262,wit,3k,#N/A,#N/A,#N/A,11.05,3.41,4.42,0.0,0.0,0.0
2263,duck,3k,72.0,4.276666119,5.33413845,3.5,1.64,1.4,390.0,50.0,20.0
2264,limb,3k,2.0,0.693147181,9.243773377,7.16,2.39,2.864,6.0,8.0,8.0
2265,cloud,3k,12.0,2.48490665,7.288955913,3.63,1.57,1.452,94.0,47.0,30.0
2266,ape,3k,3.0,1.098612289,8.80140916,5.89,2.64,2.356,19.0,11.0,2.0
2267,fed,3k,11.0,2.397895273,7.383885707999999,5.678210000000001,2.66,2.2712840000000005,46.0,31.0,39.0
2268,fee,3k,1.0,0.0,10.0,8.56,2.55,3.4240000000000004,1.0,0.0,1.0
2269,crap,3k,#N/A,#N/A,#N/A,6.5,2.57,2.6,#N/A,#N/A,#N/A
2270,tar,3k,2.0,0.693147181,9.243773377,7.22,2.62,2.888,7.0,3.0,4.0
2271,snoop,3k,1.0,0.0,10.0,8.44,2.36,3.376,#N/A,#N/A,#N/A
2272,fen,3k,#N/A,#N/A,#N/A,16.64,4.52,6.656000000000001,#N/A,#N/A,#N/A
2273,theme,3k,#N/A,#N/A,#N/A,8.5,3.4,3.4,0.0,0.0,1.0
2274,frog,3k,117.0,4.762173935,4.8044472869999995,4.32,1.45,1.7280000000000002,876.0,101.0,28.0
2275,next,3k,144.0,4.9698133,4.577911827,4.346085,1.86,1.7384340000000003,972.0,841.0,688.0
2276,few,3k,28.0,3.33220451,6.36455022,5.997920000000001,1.6,2.3991680000000004,269.0,406.0,550.0
2277,crag,3k,#N/A,#N/A,#N/A,11.54,2.93,4.616,#N/A,#N/A,#N/A
2278,crab,3k,#N/A,#N/A,#N/A,5.28,2.3,2.112,31.0,6.0,10.0
2279,save,3k,10.0,2.3025850930000002,7.487869534,5.44,1.69,2.176,65.0,77.0,67.0
2280,cram,3k,#N/A,#N/A,#N/A,10.32,3.35,4.128,#N/A,#N/A,#N/A
2281,sort,3k,32.0,3.465735903,6.218866883,6.807852000000001,2.42,2.7231408000000004,19.0,64.0,77.0
2282,babe,3k,1.0,0.0,10.0,6.61,3.11,2.644,6.0,16.0,11.0
2283,porch,3k,11.0,2.397895273,7.383885707999999,5.4,2.19,2.16,50.0,84.0,57.0
2284,tax,3k,#N/A,#N/A,#N/A,8.94,3.04,3.5759999999999996,1.0,2.0,3.0
2285,heir,3k,1.0,0.0,10.0,9.56,2.91,3.8240000000000003,1.0,0.0,0.0
2286,mend,3k,7.0,1.9459101490000001,7.877003467000001,9.11,3.62,3.6439999999999997,10.0,5.0,5.0
2287,train,3k,155.0,5.043425117,4.49760101,4.0,1.71,1.6,222.0,127.0,95.0
2288,wretch,3k,#N/A,#N/A,#N/A,10.25,4.49,4.1,#N/A,#N/A,#N/A
2289,thwack,3k,#N/A,#N/A,#N/A,12.25,3.91,4.9,#N/A,#N/A,#N/A
2290,meek,3k,1.0,0.0,10.0,9.7,2.3,3.88,#N/A,#N/A,#N/A
2291,chide,3k,#N/A,#N/A,#N/A,12.33,2.99,4.932,#N/A,#N/A,#N/A
2292,pout,3k,23.0,3.135494216,6.579162017000001,7.0,4.01,2.8,#N/A,#N/A,#N/A
2293,lapse,3k,#N/A,#N/A,#N/A,11.68,2.33,4.672,#N/A,#N/A,#N/A
2294,pour,3k,2.0,0.693147181,9.243773377,5.0,1.88,2.0,5.0,10.0,10.0
2295,gruff,3k,#N/A,#N/A,#N/A,8.94,3.54,3.5759999999999996,1.0,4.0,3.0
2296,thin,3k,20.0,2.995732274,6.731642911000001,6.47,2.76,2.588,57.0,104.0,130.0
2297,drill,3k,#N/A,#N/A,#N/A,7.14,2.9,2.856,0.0,8.0,4.0
2298,meet,3k,27.0,3.295836866,6.40422748,4.74,1.73,1.8960000000000001,101.0,129.0,138.0
2299,fetch,3k,9.0,2.197224577,7.60281832,6.61,2.55,2.644,0.0,6.0,12.0
2300,proof,3k,#N/A,#N/A,#N/A,8.06,2.13,3.224,0.0,2.0,6.0
2301,point,3k,12.0,2.48490665,7.288955913,4.55,1.61,1.8199999999999998,34.0,79.0,100.0
2302,wedge,3k,#N/A,#N/A,#N/A,9.42,3.76,3.768,0.0,0.0,1.0
2303,slid,3k,11.0,2.397895273,7.383885707999999,#N/A,#N/A,#N/A,29.0,32.0,26.0
2304,wharf,3k,#N/A,#N/A,#N/A,10.88,3.29,4.352,0.0,3.0,4.0
2305,bent,3k,12.0,2.48490665,7.288955913,#N/A,#N/A,#N/A,51.0,48.0,56.0
2306,pawn,3k,#N/A,#N/A,#N/A,9.06,3.54,3.624,#N/A,#N/A,#N/A
2307,plate,3k,19.0,2.9444389789999996,6.78760412,3.84,1.26,1.536,16.0,50.0,25.0
2308,lock,3k,9.0,2.197224577,7.60281832,5.74,2.28,2.2960000000000003,44.0,29.0,21.0
2309,slim,3k,2.0,0.693147181,9.243773377,7.26,2.42,2.904,7.0,4.0,10.0
2310,rode,3k,17.0,2.833213344,6.908951778,#N/A,#N/A,#N/A,68.0,78.0,77.0
2311,rapt,3k,#N/A,#N/A,#N/A,14.69,2.66,5.8759999999999994,#N/A,#N/A,#N/A
2312,high,3k,91.0,4.510859507,5.078632434,4.58,2.24,1.832,243.0,344.0,407.0
2313,spruce,3k,#N/A,#N/A,#N/A,10.84,2.87,4.336,0.0,1.0,4.0
2314,slit,3k,#N/A,#N/A,#N/A,10.44,4.15,4.176,1.0,2.0,4.0
2315,tag,3k,12.0,2.48490665,7.288955913,5.0,1.81,2.0,45.0,18.0,6.0
2316,bend,3k,8.0,2.079441542,7.73132013,5.56,1.85,2.2239999999999998,22.0,35.0,29.0
2317,slip,3k,4.0,1.386294361,8.487546753,6.17,2.6,2.468,13.0,21.0,23.0
